Date,Channel,Campaign_Name,Device_Type,Geography,Traffic_Source,User_Type,Sessions,Unique_Visitors,Page_Views,Bounce_Rate,Average_Session_Duration,Conversion_Rate,Conversions,Cost,Revenue,ROI,Exit_Rate
18-01-2024,Direct,Remarketing,Tablet,USA,Google,New Visitor,83,64,310,0.27,5.04,0.06,5,4.15,641.41,153.43,0.2
18-01-2024,Direct,Black_Friday,Tablet,Australia,Instagram,New Visitor,136,104,456,0.2,3.02,0.06,8,14.71,1229.36,82.59,0.15
18-01-2024,Social Media,Holiday_Special,Desktop,Brazil,LinkedIn,New Visitor,152,110,742,0.51,1.72,0.01,1,151.46,85.89,-0.43,0.45
18-01-2024,Email Campaigns,Black_Friday,Desktop,France,Google,New Visitor,167,103,646,0.23,3.27,0.06,10,93.66,712.68,6.61,0.17
18-01-2024,Referral,Summer_Sale,Tablet,Australia,Facebook,Returning Visitor,61,42,240,0.47,2.18,0.04,2,12.45,235.67,17.92,0.34
18-01-2024,Email Campaigns,Summer_Sale,Tablet,Germany,Twitter,Returning Visitor,96,75,404,0.33,4.15,0.05,4,68.27,505.64,6.41,0.3
18-01-2024,Paid Ads,Spring_Collection,Desktop,Germany,Direct,New Visitor,244,171,430,0.52,3.85,0.05,11,399.59,1380.9,2.46,0.44
18-01-2024,Organic Search,Holiday_Special,Tablet,Brazil,Twitter,New Visitor,793,486,2805,0.29,2.44,0.02,12,207.84,1357.3,5.53,0.25
18-01-2024,Organic Search,None,Mobile,Japan,Twitter,New Visitor,744,646,927,0.21,3.93,0.01,9,161.53,816.77,4.06,0.17
18-01-2024,Organic Search,Holiday_Special,Mobile,Germany,Instagram,New Visitor,620,450,1735,0.42,1.76,0.02,11,161.1,1214.88,6.54,0.33
18-01-2024,Social Media,Holiday_Special,Desktop,France,Facebook,Returning Visitor,263,179,1038,0.56,1.67,0.02,6,291,528.85,0.82,0.41
18-01-2024,Direct,Welcome_Series,Tablet,Canada,Google,New Visitor,61,51,176,0.37,3.9,0.04,2,6.47,319.33,48.34,0.33
18-01-2024,Direct,Remarketing,Mobile,Germany,Google,New Visitor,137,125,518,0.26,2.86,0.05,6,17.72,855.25,47.28,0.18
18-01-2024,Referral,Holiday_Special,Mobile,Germany,Bing,New Visitor,66,50,199,0.33,1.41,0.04,2,19.73,248.12,11.58,0.28
18-01-2024,Social Media,Holiday_Special,Mobile,Canada,Twitter,Returning Visitor,227,159,460,0.57,1.28,0.02,5,215.31,499.41,1.32,0.47
18-01-2024,Paid Ads,Welcome_Series,Desktop,Australia,LinkedIn,New Visitor,222,187,1072,0.56,3.05,0.04,8,333.07,1021.04,2.07,0.48
18-01-2024,Email Campaigns,Summer_Sale,Desktop,Brazil,Facebook,New Visitor,171,113,247,0.16,6.43,0.07,11,91.37,889.69,8.74,0.13
18-01-2024,Email Campaigns,Holiday_Special,Tablet,Germany,Email Newsletter,Returning Visitor,91,77,389,0.17,5.04,0.07,6,27.44,578.79,20.09,0.15
18-01-2024,Social Media,Black_Friday,Desktop,France,Email Newsletter,Returning Visitor,291,202,974,0.49,2.14,0.01,3,383.42,225.91,-0.41,0.34
18-01-2024,Paid Ads,Summer_Sale,Desktop,Brazil,Google,New Visitor,309,269,1097,0.4,4.52,0.05,14,926.81,1882.82,1.03,0.3
18-01-2024,Referral,None,Desktop,UK,Twitter,New Visitor,79,61,340,0.37,4.28,0.04,3,23.89,270.18,10.31,0.27
18-01-2024,Social Media,Black_Friday,Tablet,USA,Direct,New Visitor,111,95,547,0.41,2.65,0.03,3,158.29,285.8,0.81,0.32
18-01-2024,Organic Search,Holiday_Special,Desktop,Japan,Facebook,Returning Visitor,602,532,2247,0.45,3.82,0.01,7,138.89,496.16,2.57,0.39
18-01-2024,Referral,Holiday_Special,Mobile,UK,LinkedIn,Returning Visitor,96,76,223,0.34,1.41,0.03,2,29.01,208.78,6.2,0.25
18-01-2024,Direct,Holiday_Special,Mobile,Australia,Twitter,New Visitor,101,83,337,0.26,3.92,0.04,4,13.1,506.3,37.64,0.2
18-01-2024,Referral,Spring_Collection,Desktop,Australia,Instagram,New Visitor,72,53,153,0.32,4.74,0.03,2,33.75,183.66,4.44,0.27
18-01-2024,Email Campaigns,Summer_Sale,Mobile,Japan,Instagram,New Visitor,179,138,869,0.21,3.78,0.03,6,123.63,725.89,4.87,0.18
18-01-2024,Organic Search,Summer_Sale,Tablet,Brazil,Facebook,New Visitor,697,577,1389,0.4,4.01,0.02,15,86.26,1066.63,11.37,0.31
18-01-2024,Social Media,Spring_Collection,Tablet,UK,Google,Returning Visitor,142,88,259,0.59,1.7,0.02,3,135.15,199.66,0.48,0.45
18-01-2024,Referral,Remarketing,Desktop,UK,Direct,New Visitor,39,27,42,0.35,5.14,0.04,1,15.84,115.16,6.27,0.29
19-01-2024,Social Media,Spring_Collection,Tablet,USA,Twitter,Returning Visitor,127,105,541,0.69,1.01,0.02,2,111.76,137.23,0.23,0.5
19-01-2024,Email Campaigns,Remarketing,Mobile,UK,Facebook,New Visitor,128,89,550,0.32,3.83,0.06,8,63.25,905.47,13.32,0.27
19-01-2024,Referral,Remarketing,Desktop,Australia,Google,New Visitor,61,50,69,0.45,3.33,0.04,2,27.38,134.99,3.93,0.35
19-01-2024,Email Campaigns,Remarketing,Tablet,Japan,Facebook,Returning Visitor,197,163,237,0.28,1.9,0.04,7,109.04,671.16,5.16,0.23
19-01-2024,Email Campaigns,Summer_Sale,Tablet,UK,Email Newsletter,Returning Visitor,142,126,512,0.22,1.84,0.07,9,45.15,1161.08,24.72,0.16
19-01-2024,Social Media,Welcome_Series,Mobile,Brazil,Email Newsletter,Returning Visitor,261,237,382,0.49,3.27,0.04,9,221.98,873.1,2.93,0.39
19-01-2024,Direct,Holiday_Special,Desktop,Japan,Email Newsletter,New Visitor,40,29,116,0.31,2.63,0.06,2,2.62,316.76,119.94,0.23
19-01-2024,Social Media,Spring_Collection,Mobile,UK,Twitter,New Visitor,143,92,285,0.65,1.57,0.04,5,189.1,493.35,1.61,0.51
19-01-2024,Email Campaigns,Summer_Sale,Tablet,Brazil,Bing,New Visitor,100,86,295,0.3,4.22,0.06,5,60.17,391.04,5.5,0.21
19-01-2024,Paid Ads,Welcome_Series,Mobile,France,Google,Returning Visitor,359,340,431,0.53,3.52,0.04,12,548.98,1206.81,1.2,0.47
19-01-2024,Direct,None,Desktop,Brazil,LinkedIn,New Visitor,58,37,200,0.27,5.12,0.06,3,8.65,368.11,41.58,0.2
19-01-2024,Paid Ads,Summer_Sale,Tablet,UK,Twitter,New Visitor,385,349,533,0.49,2.99,0.04,16,977.94,1465.76,0.5,0.43
19-01-2024,Email Campaigns,Remarketing,Mobile,Germany,Google,New Visitor,109,77,494,0.23,6.08,0.04,4,70.33,308.01,3.38,0.18
19-01-2024,Referral,Spring_Collection,Mobile,Japan,Google,Returning Visitor,80,50,123,0.26,2.07,0.04,3,19.54,265.07,12.57,0.21
19-01-2024,Paid Ads,Spring_Collection,Desktop,Brazil,Google,Returning Visitor,158,145,311,0.5,3.58,0.04,6,441.67,655.41,0.48,0.36
19-01-2024,Social Media,Spring_Collection,Mobile,UK,Email Newsletter,New Visitor,112,92,292,0.61,3.09,0.04,3,114.21,196.3,0.72,0.46
19-01-2024,Social Media,Remarketing,Desktop,France,LinkedIn,New Visitor,286,248,743,0.64,0.81,0.02,6,259.97,371.07,0.43,0.57
19-01-2024,Social Media,Black_Friday,Tablet,Australia,Bing,Returning Visitor,95,78,288,0.61,3.06,0.02,2,110.06,104.98,-0.05,0.43
19-01-2024,Referral,Spring_Collection,Mobile,Australia,Instagram,New Visitor,65,60,106,0.48,2.46,0.03,2,24.88,158,5.35,0.42
20-01-2024,Organic Search,Holiday_Special,Tablet,USA,Instagram,Returning Visitor,570,480,1542,0.47,3.1,0.03,15,97.78,1461.15,13.94,0.36
20-01-2024,Paid Ads,Welcome_Series,Tablet,UK,Email Newsletter,New Visitor,473,384,774,0.48,3.73,0.02,10,715.09,873.92,0.22,0.35
20-01-2024,Paid Ads,Remarketing,Mobile,USA,Bing,Returning Visitor,241,167,633,0.32,2.79,0.03,7,615.42,809.86,0.32,0.25
20-01-2024,Social Media,Spring_Collection,Mobile,France,Direct,Returning Visitor,171,128,261,0.41,1.18,0.04,6,204.99,461.53,1.25,0.35
20-01-2024,Direct,Welcome_Series,Desktop,France,Email Newsletter,Returning Visitor,59,40,250,0.29,5.65,0.07,4,8.81,546.42,61,0.24
20-01-2024,Paid Ads,Holiday_Special,Desktop,France,Email Newsletter,New Visitor,256,213,337,0.43,3.5,0.04,10,440.59,1032.96,1.35,0.3
20-01-2024,Organic Search,Summer_Sale,Tablet,Brazil,Email Newsletter,Returning Visitor,741,690,854,0.26,3.23,0.03,22,149.37,1423.54,8.53,0.2
20-01-2024,Email Campaigns,Holiday_Special,Mobile,USA,Twitter,Returning Visitor,56,37,219,0.25,3.13,0.05,2,31.06,240.31,6.74,0.22
20-01-2024,Direct,Remarketing,Tablet,Japan,Email Newsletter,Returning Visitor,56,35,204,0.27,1.84,0.08,4,5.74,496.82,85.58,0.23
20-01-2024,Paid Ads,Holiday_Special,Mobile,Brazil,Google,New Visitor,322,199,468,0.47,4.07,0.02,6,946.64,563.73,-0.4,0.33
20-01-2024,Organic Search,Welcome_Series,Tablet,UK,Bing,New Visitor,302,285,361,0.37,3.5,0.02,5,60.68,480.98,6.93,0.32
20-01-2024,Social Media,Welcome_Series,Tablet,France,Facebook,Returning Visitor,152,122,434,0.67,1.66,0.02,3,217.33,282.93,0.3,0.54
20-01-2024,Social Media,Remarketing,Tablet,Germany,Twitter,Returning Visitor,143,113,663,0.65,2.74,0.04,5,157.34,496.8,2.16,0.47
20-01-2024,Direct,Welcome_Series,Tablet,France,Twitter,New Visitor,80,48,218,0.34,3.73,0.07,5,9.25,543.25,57.73,0.24
20-01-2024,Paid Ads,Spring_Collection,Tablet,Germany,Email Newsletter,Returning Visitor,172,111,800,0.32,2.99,0.04,6,353.03,719.28,1.04,0.25
20-01-2024,Organic Search,Holiday_Special,Desktop,Australia,Instagram,Returning Visitor,375,307,1563,0.28,2.92,0.03,10,86.56,1099.01,11.7,0.21
20-01-2024,Referral,Spring_Collection,Mobile,UK,Email Newsletter,Returning Visitor,45,27,175,0.39,2.81,0.02,0,19.62,0,-1,0.28
20-01-2024,Direct,Remarketing,Mobile,Brazil,Email Newsletter,Returning Visitor,64,45,262,0.35,1.36,0.05,3,8.54,311.51,35.46,0.28
20-01-2024,Social Media,Spring_Collection,Mobile,Australia,Email Newsletter,Returning Visitor,160,111,273,0.52,1.04,0.02,3,194.43,169.45,-0.13,0.44
20-01-2024,Social Media,None,Desktop,Australia,Direct,Returning Visitor,160,105,330,0.48,3.44,0.04,5,194.07,415.24,1.14,0.34
20-01-2024,Direct,Welcome_Series,Mobile,USA,Direct,Returning Visitor,77,59,352,0.29,5.54,0.07,5,9.54,677.92,70.04,0.23
20-01-2024,Paid Ads,Welcome_Series,Desktop,Australia,Google,New Visitor,230,174,359,0.31,2.08,0.03,7,644.32,915.95,0.42,0.26
20-01-2024,Direct,Holiday_Special,Mobile,Japan,Twitter,New Visitor,138,106,583,0.27,2.31,0.06,8,14.47,963.5,65.59,0.24
20-01-2024,Referral,Black_Friday,Desktop,UK,Instagram,New Visitor,72,56,221,0.28,1.71,0.04,2,32.31,141.71,3.39,0.24
20-01-2024,Social Media,Summer_Sale,Desktop,USA,Facebook,New Visitor,130,81,535,0.65,1.48,0.03,4,191.4,378.16,0.98,0.56
20-01-2024,Paid Ads,Summer_Sale,Mobile,UK,Bing,Returning Visitor,155,103,373,0.46,4.09,0.05,7,286.3,1015.55,2.55,0.38
20-01-2024,Referral,Holiday_Special,Desktop,Brazil,Facebook,New Visitor,89,58,102,0.37,1.28,0.02,2,24.9,157.63,5.33,0.27
20-01-2024,Organic Search,Spring_Collection,Tablet,Australia,Facebook,New Visitor,566,341,2120,0.28,1.6,0.02,10,104.29,945.74,8.07,0.22
20-01-2024,Email Campaigns,Summer_Sale,Desktop,Japan,Direct,Returning Visitor,105,92,481,0.18,2.38,0.06,5,37.47,567.37,14.14,0.15
20-01-2024,Paid Ads,Summer_Sale,Tablet,Australia,Bing,Returning Visitor,239,205,958,0.59,1.96,0.04,10,404.65,1463.18,2.62,0.49
20-01-2024,Social Media,Summer_Sale,Mobile,Australia,LinkedIn,New Visitor,239,143,479,0.42,2.83,0.03,7,333.69,437.2,0.31,0.34
20-01-2024,Referral,Spring_Collection,Mobile,USA,Google,Returning Visitor,90,76,234,0.49,3.54,0.03,2,40.15,177.94,3.43,0.42
20-01-2024,Social Media,Remarketing,Tablet,France,LinkedIn,New Visitor,243,153,976,0.49,3.85,0.04,9,280.17,672.88,1.4,0.4
20-01-2024,Email Campaigns,Welcome_Series,Tablet,Canada,Bing,New Visitor,147,102,671,0.36,2.25,0.06,8,113.62,796.44,6.01,0.3
21-01-2024,Social Media,Summer_Sale,Mobile,Canada,Twitter,Returning Visitor,151,142,597,0.52,3.11,0.03,4,219.9,296.33,0.35,0.37
21-01-2024,Email Campaigns,Welcome_Series,Mobile,France,Direct,New Visitor,199,127,543,0.31,3.46,0.06,12,68.05,1353.83,18.9,0.23
21-01-2024,Social Media,None,Mobile,Brazil,LinkedIn,Returning Visitor,253,228,715,0.63,2.66,0.02,6,305.71,577.11,0.89,0.55
21-01-2024,Direct,None,Desktop,Brazil,Bing,New Visitor,111,93,151,0.38,1.49,0.04,4,11.04,536.25,47.56,0.29
21-01-2024,Email Campaigns,None,Desktop,Australia,LinkedIn,New Visitor,142,86,453,0.25,2.88,0.07,9,91.43,1018.99,10.15,0.18
21-01-2024,Referral,Remarketing,Tablet,Germany,Instagram,Returning Visitor,99,72,103,0.26,1.85,0.03,3,28.98,364.81,11.59,0.21
21-01-2024,Social Media,None,Desktop,UK,Facebook,Returning Visitor,116,89,251,0.57,0.92,0.03,3,141.81,157.14,0.11,0.45
21-01-2024,Social Media,Remarketing,Mobile,Brazil,Bing,New Visitor,138,104,380,0.43,4.37,0.03,4,134.91,255.92,0.9,0.34
21-01-2024,Organic Search,Holiday_Special,Tablet,UK,Instagram,Returning Visitor,611,425,2928,0.28,2.14,0.02,15,105.25,1051.19,8.99,0.25
